MERCHANT NAME,MERCHANT ID,STORE NAME,STORE ID,LEGAL ENTITY,ADDRESS
POUND,7c66fda3-444d-4873-b401-2ac76b451d4b,Pound Ermita,19085b35-6d7f-4659-86c2-58a9fcdad457,Concetti Globali Inc.,NO OSC
POUND,7c66fda3-444d-4873-b401-2ac76b451d4b,Pound Gateway 2,d325ebf3-dd39-4b4a-91c2-2526acf738c6,Concetti Globali Inc.,NO OSC
Everything But Cheese,354,Everything But Cheese SM Manila,004c70c1-d09b-4074-b553-ed65b6cf7d20,THE CHEESIEST PLACE INC.,San Marcelino Street Ermita Metro Manila 
Kantina,#N/A,Kantina Manila,5ac8bbc7-372a-4502-b8b1-345c9394931e,,NO OSC/No Accre form
Everything But Cheese,354,Everything But Cheese Boni,06578249-68f8-4bc4-b197-2a297d5e2a5e,THE CHEESIEST PLACE INC.,610 Boni Ave Brgy Plainview Mandaluyong City
Everything But Cheese,354,Everything But Cheese C & B Marikina,a141793f-38a9-42f1-81df-d62c3925d24f,THE CHEESIEST PLACE INC.,Liwasang Kalayaan Ave MArikina Heights Marikina City
Everything But Cheese,354,Everything But Cheese E. Rodriguez,38c5d95b-34d8-423b-8878-2c86bc1c900f,THE CHEESIEST PLACE INC.,GYY Bldg E Rodriguez corner Tomas Morato Quezon City
Everything But Cheese,354,Everything But Cheese Sherwood,8915615d-838f-4ddb-8c0a-08f70c56af51,THE CHEESIEST PLACE INC.,Sherwood Place Commercial center Taft Ave Malate Manila
Everything But Cheese,354,Everything But Cheese Sta. Ana,b898acff-3afb-43de-b833-08bfcf24e319,THE CHEESIEST PLACE INC.,2322 Unit G-10 FC Square Commercial Center Plaza Hugo Brgy 884 Zone 97 Sta Ana Manila 
Everything But Cheese,335,Everything But Cheese BF Aguirre,a0151236-fc51-4441-9ba4-4a5884c20f5e,2021 FOODS INC.,289 Aguirre Avenue BF Home Paranaque
Everything But Cheese,335,Everything But Cheese SM Grand Central,3ed854da-a03f-4a3c-b74c-ceb941d8d3b5,2021 FOODS INC.,"Unit 409 SM City Grand Central
 Rizal Avenue Extension, Barangay 88, Zone 8, District II, Grace Park East,1403 Caloocan City"
Everything But Cheese,335,Everything But Cheese SM San Lazaro,159a0e6b-120a-4d59-b9bf-0180f8fcfa0e,2021 FOODS INC.,"Unit 029 LGF SM San Lazaro, Felix Huertas cor Lacson Avenue, C 2 Road, Santa Cruz, Manila, 1003 Metro Manila"
Everything But Cheese,335,Everything But Cheese SM Urdaneta,14631d0e-0ff5-47e0-bf04-d735289e7141,2021 FOODS INC.,"SM City Urdaneta Central
Mac Arthur Highway, Barangay Nancayasan, Urdaneta City, Pangasinan 2428"
Everything But Cheese,337,Everything But Cheese BF Resort,5aca53b3-24b1-488c-b962-94a92e915f0f,AECEN ENTERPRISES INC.,"Everything But Cheese - BF Resort
 2nd level, AEC Bldg. I, 41 Gloria Diaz St. BF Resort Village, Brgy. Talon Dos, Las Piñas City"
Everything But Cheese,336,Everything But Cheese RFC Molino,d0b0f1e6-be0b-4a16-92ad-9ac6c97e5b37,KRIVA QUEIJO CORPORATION,"Ground Floor Unit G5 RFC Molino Mall, Zapote-Molino Road, Bacoor City, Cavite"
Everything But Cheese,346,Everything But Cheese SM Baguio,41a3d2e2-739b-4e46-a1bc-171ccd5feff9,STAR CHEESE FOODS CORPORATION,"3rd Level Unit 348 SM Ciy Baguio, Luneta Hill
 Upper Session Rd., Baguio City"
Everything But Cheese,347,Everything But Cheese SM Bacoor,294c4b1e-2f97-4824-adc8-9bd39dc5bc09,BEVERAGE POINTE VENTURES CORP.,"SM Bacoor, Brgy, Gen. Emilio Aguinaldo Highway, cor Tirona Hwy, Bacoor, 4102 Cavite."
Everything But Cheese,345,Everything But Cheese SM Sta. Rosa,5ab6eafb-09be-42b1-acc0-067c7f435d1e,CHASEY CHES CORP,"Unit 1004- 1005 SM Sta. Rosa, Old National Highway, Brgy, Manila S RD, Santa Rosa Laguna."
Everything But Cheese,377,Everything But Cheese SM Clark,46183783-5e95-46c3-8ffc-d701c9912032,CHASEY CHES CORP,"Barangay, Manuel A. Roxas Hwy, Clark Freeport, Angeles, Pampanga"
Everything But Cheese,378,Everything But Cheese Fishermall Malabon,afa48888-23d3-42af-a530-39a9bd3db7d9,CHASEY CHES CORP,"1F-L17 A C-4 road corner Dagat-dagatan Avenue Brgy. Longos, 1472 Malabon"
Everything But Cheese,379,Everything But Cheese SM Dasma,be3c9fce-2682-431e-a437-db100968935e,CHASEY CHES CORP,"Unit E04, 4114 Governor's Dr, Brgy. Dasmarinas, 4114 Cavite, SM City Dasmarinas"
Everything But Cheese,a3bb96e1-8866-44ca-9d35-93cbac31098c,Everything But Cheese SM Fairview,47726898-4969-42b4-b271-191faca41a89,CHASEY CHES CORP,"AX3 1102 SM City Fairview, 202 Quirino Highway corner Regalado Avenue, Quezon City"
Everything But Cheese,364,Everything But Cheese SM Tanza,d37dad3d-21b8-4ef0-b8bf-7c3f5aed204a,CHASEY CHES CORP,"GF 1063 SM City Tanza, Antero Soriano Highway, Brgy. Daang Amaya II, 4108 Tanza, Cavite"
Pink's Burgers and Hotdogs,#N/A,Pink's Burgers and Hotdogs BGC,43f3035f-1650-4651-9f10-5b54f108c5d7,Wildflour Bakery + Cafe Corporation,NO OSC/No Accre form
California Pizza Kitchen,#N/A,California Pizza Kitchen Forbes Town,5128c67f-25be-4b1f-b9e9-f61704c6c9b0,Pi Co inc.,Burgos park Makati City
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM Megamall,1473abc0-7bcf-406b-b44c-64ea41f17397,BANH MI KITCHEN SERVICES INC.,"4th Floor, SM Megamall Blgd. A Doña Julia Vargas Ave. Brgy. Wack Wack"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM Hyper Pasig,141bac50-84c8-4f05-aaa6-1f4012be8dd9,BANH MI KITCHEN SERVICES INC.,"SM Center Pasig, Dona Julia Vargas Ave."
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Mandala Park,fc7c47bf-bfc4-4375-9e1e-38e8ce98e410,BANH MI KITCHEN SERVICES INC.,G/F Mandala Park Brgy.Pleasant Hills
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Bonifacio Stopover,64feaced-06b3-4a6e-9eed-4b88d66775a2,BANH MI KITCHEN SERVICES INC.,"Bonifacio Stopover 31st St., Bonifacio Global City"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Two Maridien,8f3ae086-dd88-44f3-957a-25ab9e99973b,BANH MI KITCHEN SERVICES INC.,Kiosk 12 Ground Floor The Two Maridien 26TH Street Bonifacio Global City
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM Aura Supermarket,83d37622-28b1-4d59-9332-29d7a19c6456,BANH MI KITCHEN SERVICES INC.,
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banhi Mi Kitchen SM Megamall,1473abc0-7bcf-406b-b44c-64ea41f17397,BANH MI KITCHEN SERVICES INC.,"4th Floor, SM Megamall Blgd. A Doña Julia Vargas Ave. Brgy. Wack Wack"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Makati Medical Center,12eb1581-0d33-49d5-9c6f-efb1b7f1dbdf,BANH MI KITCHEN SERVICES INC.,"3rd Level, Tower 1 Makati Medical Center, 2 Amorsolo St. Legaspi Village, Makati City"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Ca Phe Fatima University Medical Center,8b58b1a2-7f80-47ab-b724-34f1b52b76e7,BANH MI KITCHEN SERVICES INC.,"Fatima University Medical Center 120 MacArthur Highway, Valenzuela City"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen MOA Arena,2901d2ec-ada5-45ba-8892-52f7e6926a0f,BANH MI KITCHEN SERVICES INC.,"2nd Level, Mall of Asia Complex, J.W. Diokno Blvd, Pasay, 1300 Metro Manila"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Ca Phe SM Grand Central,20e16165-7619-4ee8-88d5-2ed0bedb2aa9,8RGZ CORPORATION,"Unit 010 LG SM City Grand Central, Caloocan City"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Central Avenue,446dc349-e160-4ad3-95f7-644ab74b53b7,GarSo UNITED FOODS INC.,Unit 1 25 Central Avenue Diliman Quezon City Philippines 
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM Lanang Premier Davao,462d4e82-012f-4a02-840d-eeffbf8413f2,Murdie Olan,"3rd floor, SM Lanang Premier, J.P. Laurel Ave., Agdao, Davao City, Davao Del Sur, Philippines 8000                        "
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM City Pampanga,8425d6bd-a799-4959-a6d1-3474d9e50320,KLM Food and Beverage Kiosk,"CT 109 Ground Floor, SM City Pampanga, Lagundi, Mexico Pampanga"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM City Clark,0122104e-7149-472a-953b-391957896cd0,KLM Food and Beverage,"CT 211, 2nd Floor SM City Clark, Malabanias, Angeles City, Pampanga"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Manila Doctors Hospital,235c6606-2e39-4f91-a114-4ce1f8c46ea6,BANH MI KITCHEN SERVICES INC,
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Shell Lacson Bacolod,4a69e37f-f75b-4321-884d-a4ebbf9e1c6c,Vermilion Trends Food Store,"2nd Flr.  E.M.B. North Gas Fuel Retailing Lacson St., Corner Carvic Road Mandalagan, Bacolod City"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM City Bacolod,b094d567-e6a2-4029-a01e-d0e72ad232a6,Vermilion Trends Food Store,"2nd Flr. North Wing, SM City Bacolod, Bishop Y. Fortich Ave., Bgy 10, Bacolod City 6100"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Lucky Chinatown Mall,6a85e89c-dfdd-4f65-b9b7-b33b300e4bf8,Happy Tastebuds Ventures Corp,5th floor lucky chinatown mall dela chambre binondo manila
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Robinsons Manila,e1e0df95-5cdf-4c9f-bc5a-6255885d9c5f,HAPPY TASTEBUDS VENTURES CORP.,"350 Pedro Gil St, Ermita, Robinson's Place Manila"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Shell Levi 2,009de4f3-27f4-4c6f-9453-30b69763ee95,MCA FOOD KIOSK,LOT 12940 CAYETANO AVENUE USUSAN 1639 TAGUIG CITY
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Ca Phe SM Batangas,de61b1b5-da02-41ce-9f7d-c21dc0084f3f,Lilibeth Velasquez Restaurant,"Unit 122 G/F SM City Batangas, Pastor Village, Barangay Pallocan West, Batangas City"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen The Infinity,2cf4a6ea-e4c6-4feb-b1d8-4c9ae99da26c,KLM Food and Beverage Kiosk,
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen McKinley Hill,e229da36-2679-4ca2-904d-8a2dbc0871fe,Banh Mi Kitchen Services Inc. (New),UGF A102a Park Area McKinley West Pinagsama Taguig City 1630
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM City BF,1a6e2cf9-cd44-4a1d-bc86-44ced97c16b1,Banh Mi Kitchen Services Inc. (New),"Ground Floor, SM City BF, Dr Arcadio Santos Ave, Parañaque, 1700 Metro Manila"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Eastwood Mall,fb14b7c1-739c-4fb1-aa48-194eb2eec0db,Banh Mi Kitchen Services Inc. (New),"Unit 3K-1, Third Floor, Eastwood Mall, Eastwood City, Brgy. Bagumbayan, Quezon City. 1110"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM Southmall,d863d6b4-4ab1-4fa6-ad10-5a39a031ff63,Banh Mi Kitchen Services Inc. (New),"Upper Ground Level SM Southmall, Alabang–Zapote Rd, Baranggay Almanza Uno, Las Piñas, 1750 Metro Manila"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Ayala Solenad,2244d794-758d-4651-b2f5-d9f60f18ec40,Tastecon Food and Beverage Kiosk,"Kiosk 2, Ground floor, Bldg. E, Ayala Malls Solenad 3, Nuvali, Sta. Rosa Laguna"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen PITX,da5b58a6-ece3-4325-9d36-ba2a4b6327c0,Mondo Oro New Business Ventures Inc,"Ground Floor, PITX, 1 Kennedy Road Tambo, Parañaque City"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Ayala Feliz,781cc418-5450-47ab-86ca-531be8c9ca09,Bitecrunch Inc.,"Level 4 Space No. IM 402 Ayala Malls Feliz Marcos Hi-Way Cor. Amang Rodriguez Ave. Dela Paz Pasig City, 1600"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM Ecoland,a51abc18-8c0e-40aa-a0d4-41d153b1e7dd,AOMA FOOD CORPORATION,"2L, MAIN MALL, SM CITY DAVAO, QUIMPO BLVD., COR. TULIP AND ECOLAND DRIVE, ECOLAND DRIVE, MATINA, DAVAO CITY"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Mayfair Tower,6e3026a4-4224-4f64-82b8-c7a72830c162,JAVO'S FOOD STATION,"UNIT COM A-1 G/F MAYFAIR TOWER, U.N. AVE COR MABINI ST., ERMITA, MANILA, BRGY 670 ZONE 72"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Bohol,8895eea9-b8bb-462a-9074-0ff4e05c5053,A&A Stefanos Alexandra Restaurants Corporation,"Lower Ground Island City Mall, Tagbilaran City Bohol"
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen SM Marilao,c5208986-35f6-4fe4-aba4-92d6d2fc8126,Max's Group Inc.,
Max's Group Delivers,0,Max's Group Delivers Commonwealth Fairview,26ed21b5-2bca-4275-8788-0d815c38b6f1,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers EDSA Eats,f9a711d5-905a-43e1-ba52-8a7465e1fdbb,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers SM Fairview,38f6151a-d789-43d7-990a-88194d878d9d,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Regalado Hive,76bf2a4e-b24c-460b-ad17-982457f49cd3,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers SM Mezza,a9aaf4dc-fecc-4ee7-85ea-4f96d26071ab,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Scout Tuazon,8c5d866b-d5f5-4319-811a-1e79ad2e3695,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Matalino,0a432baf-526e-4017-963e-38c5d22c06ef,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Malate,a930f057-96ef-49aa-82c2-f4a94daaa908,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Jupiter Makati,aa98edfd-c64f-4a21-8d99-e6e83bd6f2fa,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Hampton,92631906-e7b9-47fc-9cae-4747c742ef6f,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Pasig Kapitolyo,c9be3773-bfa1-425c-8a16-58495eb2b074,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Sucat,4faa3cd9-eb6c-442a-83b6-ba42afff9945,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Dona Soledad,ee5def69-a996-429b-81c3-2d36ae6d3981,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers SM Sucat,b4b40d7b-2027-457c-86c4-a00805496328,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Forbes Town,86c792b0-b4f7-4547-a7b5-788f6b5869da,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Molino,bccdab44-9d8a-4ebf-ab3a-b22a881ea95e,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Las Pinas Alabang Zapote,1c037057-d17e-4f2c-8920-94c214b5d33c,Max's Group Inc.,NO OSC
Max's Group Delivers,0,Max's Group Delivers Magallanes,37a9fbf3-958f-4e57-9478-6d629696bcf9,Max's Group Inc.,NO OSC
Honeybon,329,Honeybon SM Megamall,85832a0f-99a7-4163-bcf1-1bd838ce9bbb,Mc Wilson Corporation,NO OSC
Honeybon,330,Honeybon Festival Mall,cd023c3a-e9d4-4c5c-9bb9-52ae88e193be,Mc Wilson Corporation,NO OSC
Tatatito,331,Tatatito Makati,7854fc5a-dc51-4501-bc83-35817f12f8d6,Mc Wilson Corporation,NO OSC
Happy Lemon,278,Happy Lemon Eastwood,683bb991-569e-46fb-898f-5ecf1574b607,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,279,Happy Lemon The Block,34220ccd-5313-46a3-b61f-5f6e430ca856,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,280,Happy Lemon Fairview,63c6a67a-de3a-4d84-8a58-e3ef9115bebc,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,281,Happy Lemon Timog,d59ab46b-0806-4e31-b88e-5a0ad561319c,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,282,Happy Lemon UPTC,84f720cb-7d58-4ee9-81a7-08d4159d96fb,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,283,Happy Lemon SM Lanang Premiere,afefaccf-b556-4657-9c6d-550fe1bbecb5,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,284,Happy Lemon Magnolia,a7a3113c-8828-45c8-a37d-2c3ff9953b54,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,285,Happy Lemon Ermita,7f32835b-c4f4-45bc-a600-3553282818ed,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,286,Happy Lemon Megamall,11453053-5a76-410f-8674-8d9626d73168,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,287,Happy Lemon Trinoma,e6ec7cfd-f65d-4966-a3f1-6ea52841348b,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,288,Happy Lemon BHS,0cace28b-6eef-4ddb-82dd-496c97615949,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,289,Happy Lemon LCT,12f01868-22eb-4294-988a-a1832fa593c6,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,290,Happy Lemon Greenbelt 1,3713a105-1805-40dc-b04f-b21c9e0a177e,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,291,Happy Lemon MOA,d1eda303-68ac-4ab6-bf83-bbc5f127aac7,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,292,Happy Lemon SM Davao,cfb1e38f-7c38-405f-b9f8-2016aa15afdd,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,293,Happy Lemon Promenade,e830e620-3eca-4c8e-8bc2-03c310f71183,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,294,Happy Lemon Davao Supermarket,ba3fc23d-fe8f-4919-a259-a99f3aa9fdcb,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,295,Happy Lemon Festival,c0f7704b-b0e2-4941-bd87-be995d06a91f,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,296,Happy Lemon Ayala Manila Bay,354c45da-2abe-4678-a76a-9c7091ef30d3,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,297,Happy Lemon Estancia Mall,22ef51d7-ecf5-4ef9-b736-541f5c2d1f8a,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
Happy Lemon,298,Happy Lemon Galleria 2,740529ad-520a-4600-833a-6edb5476b58c,"HAPPY LEMON GROUP PHILIPPINES, INC.",NO OSC
